id,producto_id,modelo_id,motor_id,ano_desde,ano_hasta
f-00046,p-0023,cv-sail,,2013,2019
f-00047,p-0024,vw-gol,,2013,2018
f-00048,p-0024,vw-polo,,2018,2023
f-00049,p-0025,rn-logan,,2014,2020
f-00050,p-0025,rn-sandero,,2015,2021
f-00051,p-0025,rn-stepway,,2016,2022
f-00052,p-0026,rn-duster,,2012,2021
f-00053,p-0027,hy-elantra,,2017,2023
f-00054,p-0027,ki-cerato,,2014,2021
f-00055,p-0028,vw-gol,,2013,2018
f-00056,p-0028,vw-polo,,2018,2023
f-00057,p-0029,ty-prado,,2010,2020
f-00058,p-0030,su-swift,,2018,2023
f-00059,p-0030,su-vitara,,2016,2022
f-00060,p-0031,rn-kwid,,2018,2024
f-00061,p-0032,cv-captiva,,2008,2018
f-00062,p-0033,fo-escape,,2013,2019
f-00063,p-0034,mz-3,,2015,2019
f-00064,p-0034,mz-2,,2016,2021
f-00065,p-0034,mz-cx5,,2017,2023
f-00066,p-0035,ni-qashqai,,2018,2023
f-00067,p-0036,ni-versa,,2015,2020
f-00068,p-0036,ni-march,,2014,2021
f-00069,p-0037,hy-elantra,,2017,2023
f-00070,p-0037,ki-cerato,,2014,2021
f-00071,p-0038,fo-fiesta,,2011,2016
f-00072,p-0039,ty-hilux,,2016,2023
f-00073,p-0039,fo-ranger,,2016,2022
f-00074,p-0039,ni-frontier,,2010,2020
f-00075,p-0039,vw-amarok,,2011,2021
f-00076,p-0039,cv-dmax,,2006,2013
f-00077,p-0040,cv-spark-gt,,2011,2017
f-00078,p-0040,cv-sail,,2013,2019
f-00079,p-0041,hy-accent,,2012,2018
f-00080,p-0041,ki-rio,,2012,2017
f-00081,p-0042,fo-fiesta,,2011,2016
f-00082,p-0043,ty-hilux,,2016,2023
f-00083,p-0043,fo-ranger,,2016,2022
f-00084,p-0043,ni-frontier,,2010,2020
f-00085,p-0043,vw-amarok,,2011,2021
f-00086,p-0043,cv-dmax,,2006,2013
f-00087,p-0044,ty-prado,,2010,2020
f-00088,p-0045,hy-i10,,2014,2020
f-00089,p-0045,ki-picanto,,2012,2020
f-00090,p-0046,cv-captiva,,2008,2018
f-00091,p-0047,vw-gol,,2013,2018
f-00092,p-0047,vw-polo,,2018,2023
f-00093,p-0048,rn-duster,,2012,2021
f-00094,p-0049,cv-spark-gt,,2011,2017
f-00095,p-0049,cv-sail,,2013,2019
f-00096,p-0050,ni-versa,,2015,2020
f-00097,p-0050,ni-march,,2014,2021
f-00098,p-0051,mz-3,,2015,2019
f-00099,p-0051,mz-2,,2016,2021
f-00100,p-0051,mz-cx5,,2017,2023
f-00101,p-0052,rn-logan,,2014,2020
f-00102,p-0052,rn-sandero,,2015,2021
f-00103,p-0052,rn-stepway,,2016,2022
f-00104,p-0053,hy-elantra,,2017,2023
f-00105,p-0053,ki-cerato,,2014,2021
f-00106,p-0054,cv-spark-gt,,2011,2017
f-00107,p-0054,cv-sail,,2013,2019
f-00108,p-0055,rn-duster,,2012,2021
f-00109,p-0056,rn-kwid,,2018,2024
f-00110,p-0057,hy-tucson,,2016,2022
f-00111,p-0057,ki-sportage,,2016,2022
f-00112,p-0058,fo-fiesta,,2011,2016
f-00113,p-0059,fo-escape,,2013,2019
f-00114,p-0060,vw-gol,,2013,2018
f-00115,p-0060,vw-polo,,2018,2023
f-00116,p-0061,rn-duster,,2012,2021
f-00117,p-0062,hy-tucson,,2016,2022
f-00118,p-0062,ki-sportage,,2016,2022
f-00119,p-0063,hy-i10,,2014,2020
f-00120,p-0063,ki-picanto,,2012,2020
f-00121,p-0064,cv-spark-gt,,2011,2017
f-00122,p-0064,cv-sail,,2013,2019
f-00123,p-0065,rn-kwid,,2018,2024
f-00124,p-0066,fo-escape,,2013,2019
f-00125,p-0067,rn-logan,,2014,2020
f-00126,p-0067,rn-sandero,,2015,2021
f-00127,p-0067,rn-stepway,,2016,2022
f-00128,p-0068,cv-captiva,,2008,2018
f-00129,p-0069,ni-versa,,2015,2020
f-00130,p-0069,ni-march,,2014,2021
f-00131,p-0070,vw-gol,,2013,2018
f-00132,p-0070,vw-polo,,2018,2023
f-00133,p-0071,ty-corolla,,2014,2019
f-00134,p-0071,ty-yaris,,2018,2023
f-00135,p-0072,hy-accent,,2012,2018
f-00136,p-0072,ki-rio,,2012,2017
f-00137,p-0073,ty-prado,,2010,2020
f-00138,p-0074,hy-i10,,2014,2020
f-00139,p-0074,ki-picanto,,2012,2020
f-00140,p-0075,su-swift,,2018,2023
f-00141,p-0075,su-vitara,,2016,2022
f-00142,p-0076,fo-fiesta,,2011,2016
f-00143,p-0077,ty-hilux,,2016,2023
f-00144,p-0077,fo-ranger,,2016,2022
f-00145,p-0077,ni-frontier,,2010,2020
f-00146,p-0077,vw-amarok,,2011,2021
f-00147,p-0077,cv-dmax,,2006,2013
f-00148,p-0078,hy-tucson,,2016,2022
f-00149,p-0078,ki-sportage,,2016,2022
f-00150,p-0079,su-swift,,2018,2023
f-00151,p-0079,su-vitara,,2016,2022
f-00152,p-0080,ni-versa,,2015,2020
f-00153,p-0080,ni-march,,2014,2021
f-00154,p-0081,ni-qashqai,,2018,2023
f-00155,p-0082,cv-spark-gt,,2011,2017
f-00156,p-0082,cv-sail,,2013,2019
f-00157,p-0083,ty-prado,,2010,2020
f-00158,p-0084,hy-accent,,2012,2018
f-00159,p-0084,ki-rio,,2012,2017
f-00160,p-0085,fo-fiesta,,2011,2016
f-00161,p-0086,hy-elantra,,2017,2023
f-00162,p-0086,ki-cerato,,2014,2021
f-00163,p-0087,ty-hilux,,2016,2023
f-00164,p-0087,fo-ranger,,2016,2022
f-00165,p-0087,ni-frontier,,2010,2020
f-00166,p-0087,vw-amarok,,2011,2021
f-00167,p-0087,cv-dmax,,2006,2013
f-00168,p-0088,rn-kwid,,2018,2024
f-00169,p-0089,fo-escape,,2013,2019
f-00170,p-0090,vw-gol,,2013,2018
f-00171,p-0090,vw-polo,,2018,2023
f-00172,p-0091,ty-corolla,,2014,2019
f-00173,p-0091,ty-yaris,,2018,2023
f-00174,p-0092,fo-escape,,2013,2019
f-00175,p-0093,mz-3,,2015,2019
f-00176,p-0093,mz-2,,2016,2021
f-00177,p-0093,mz-cx5,,2017,2023
f-00178,p-0094,rn-duster,,2012,2021
f-00179,p-0095,fo-fiesta,,2011,2016
f-00180,p-0096,ni-versa,,2015,2020
f-00181,p-0096,ni-march,,2014,2021
f-00182,p-0097,cv-captiva,,2008,2018
f-00183,p-0098,rn-logan,,2014,2020
f-00184,p-0098,rn-sandero,,2015,2021
f-00185,p-0098,rn-stepway,,2016,2022
f-00186,p-0099,hy-elantra,,2017,2023
f-00187,p-0099,ki-cerato,,2014,2021
f-00188,p-0100,fo-escape,,2013,2019
f-00189,p-0101,hy-i10,,2014,2020
f-00190,p-0101,ki-picanto,,2012,2020
f-00191,p-0102,hy-elantra,,2017,2023
f-00192,p-0102,ki-cerato,,2014,2021
f-00193,p-0103,cv-captiva,,2008,2018
f-00194,p-0104,ni-versa,,2015,2020
f-00195,p-0104,ni-march,,2014,2021
f-00196,p-0105,rn-kwid,,2018,2024
f-00197,p-0106,su-swift,,2018,2023
f-00198,p-0106,su-vitara,,2016,2022
f-00199,p-0107,hy-elantra,,2017,2023
f-00200,p-0107,ki-cerato,,2014,2021
f-00201,p-0108,su-swift,,2018,2023
f-00202,p-0108,su-vitara,,2016,2022
f-00203,p-0109,cv-captiva,,2008,2018
f-00204,p-0110,ty-hilux,,2016,2023
f-00205,p-0110,fo-ranger,,2016,2022
f-00206,p-0110,ni-frontier,,2010,2020
f-00207,p-0110,vw-amarok,,2011,2021
f-00208,p-0110,cv-dmax,,2006,2013
f-00209,p-0111,fo-escape,,2013,2019
f-00210,p-0112,ty-corolla,,2014,2019
f-00211,p-0112,ty-yaris,,2018,2023
f-00212,p-0113,rn-duster,,2012,2021
f-00213,p-0114,ty-prado,,2010,2020
f-00214,p-0115,fo-escape,,2013,2019
f-00215,p-0116,fo-fiesta,,2011,2016
f-00216,p-0117,hy-accent,,2012,2018
f-00217,p-0117,ki-rio,,2012,2017
f-00218,p-0118,cv-onix,,2017,2024
f-00219,p-0118,cv-tracker,,2020,2025
f-00220,p-0119,ty-prado,,2010,2020
f-00221,p-0120,ni-qashqai,,2018,2023
f-00222,p-0121,ni-versa,,2015,2020
f-00223,p-0121,ni-march,,2014,2021
f-00224,p-0122,rn-kwid,,2018,2024
f-00225,p-0123,su-swift,,2018,2023
f-00226,p-0123,su-vitara,,2016,2022
f-00227,p-0124,vw-gol,,2013,2018
f-00228,p-0124,vw-polo,,2018,2023
f-00229,p-0125,rn-duster,,2012,2021
f-00230,p-0126,ty-hilux,,2016,2023
f-00231,p-0126,fo-ranger,,2016,2022
f-00232,p-0126,ni-frontier,,2010,2020
f-00233,p-0126,vw-amarok,,2011,2021
f-00234,p-0126,cv-dmax,,2006,2013
f-00235,p-0127,cv-spark-gt,,2011,2017
f-00236,p-0127,cv-sail,,2013,2019
f-00237,p-0128,hy-tucson,,2016,2022
f-00238,p-0128,ki-sportage,,2016,2022
f-00239,p-0129,mz-3,,2015,2019
f-00240,p-0129,mz-2,,2016,2021
f-00241,p-0129,mz-cx5,,2017,2023
f-00242,p-0130,hy-i10,,2014,2020
f-00243,p-0130,ki-picanto,,2012,2020
f-00244,p-0131,ty-corolla,,2014,2019
f-00245,p-0131,ty-yaris,,2018,2023
f-00246,p-0132,hy-tucson,,2016,2022
f-00247,p-0132,ki-sportage,,2016,2022
f-00248,p-0133,fo-escape,,2013,2019
f-00249,p-0134,cv-captiva,,2008,2018
f-00250,p-0135,vw-gol,,2013,2018
f-00251,p-0135,vw-polo,,2018,2023
f-00252,p-0136,su-swift,,2018,2023
f-00253,p-0136,su-vitara,,2016,2022
f-00254,p-0137,rn-duster,,2012,2021
f-00255,p-0138,cv-onix,,2017,2024
f-00256,p-0138,cv-tracker,,2020,2025
f-00257,p-0139,cv-spark-gt,,2011,2017
f-00258,p-0139,cv-sail,,2013,2019
f-00259,p-0140,ty-corolla,,2014,2019
f-00260,p-0140,ty-yaris,,2018,2023
f-00261,p-0141,hy-elantra,,2017,2023
f-00262,p-0141,ki-cerato,,2014,2021
f-00263,p-0142,ni-versa,,2015,2020
f-00264,p-0142,ni-march,,2014,2021
f-00265,p-0143,rn-logan,,2014,2020
f-00266,p-0143,rn-sandero,,2015,2021
f-00267,p-0143,rn-stepway,,2016,2022
f-00268,p-0144,hy-i10,,2014,2020
f-00269,p-0144,ki-picanto,,2012,2020
f-00270,p-0145,fo-fiesta,,2011,2016
f-00271,p-0146,ni-qashqai,,2018,2023
f-00272,p-0147,ty-corolla,,2014,2019
f-00273,p-0147,ty-yaris,,2018,2023
f-00274,p-0148,fo-fiesta,,2011,2016
f-00275,p-0149,fo-escape,,2013,2019
f-00276,p-0150,ni-qashqai,,2018,2023
f-00277,p-0151,cv-onix,,2017,2024
f-00278,p-0151,cv-tracker,,2020,2025
f-00279,p-0152,hy-i10,,2014,2020
f-00280,p-0152,ki-picanto,,2012,2020
f-00281,p-0153,rn-logan,,2014,2020
f-00282,p-0153,rn-sandero,,2015,2021
f-00283,p-0153,rn-stepway,,2016,2022
f-00284,p-0154,ty-prado,,2010,2020
f-00285,p-0155,hy-tucson,,2016,2022
f-00286,p-0155,ki-sportage,,2016,2022
f-00287,p-0156,cv-captiva,,2008,2018
f-00288,p-0157,hy-elantra,,2017,2023
f-00289,p-0157,ki-cerato,,2014,2021
f-00290,p-0158,cv-onix,,2017,2024
f-00291,p-0158,cv-tracker,,2020,2025
f-00292,p-0159,rn-logan,,2014,2020
f-00293,p-0159,rn-sandero,,2015,2021
f-00294,p-0159,rn-stepway,,2016,2022
f-00295,p-0160,ty-hilux,,2016,2023
f-00296,p-0160,fo-ranger,,2016,2022
f-00297,p-0160,ni-frontier,,2010,2020
f-00298,p-0160,vw-amarok,,2011,2021
f-00299,p-0160,cv-dmax,,2006,2013
f-00300,p-0161,hy-accent,,2012,2018
f-00301,p-0161,ki-rio,,2012,2017
f-00302,p-0162,ni-qashqai,,2018,2023
f-00303,p-0163,ni-versa,,2015,2020
f-00304,p-0163,ni-march,,2014,2021
f-00305,p-0164,ty-corolla,,2014,2019
f-00306,p-0164,ty-yaris,,2018,2023
f-00307,p-0165,vw-gol,,2013,2018
f-00308,p-0165,vw-polo,,2018,2023
f-00309,p-0166,hy-i10,,2014,2020
f-00310,p-0166,ki-picanto,,2012,2020
f-00311,p-0167,su-swift,,2018,2023
f-00312,p-0167,su-vitara,,2016,2022
f-00313,p-0168,rn-kwid,,2018,2024
f-00314,p-0169,rn-duster,,2012,2021
f-00315,p-0170,fo-escape,,2013,2019
f-00316,p-0171,ty-corolla,,2014,2019
f-00317,p-0171,ty-yaris,,2018,2023
f-00318,p-0172,hy-accent,,2012,2018
f-00319,p-0172,ki-rio,,2012,2017
f-00320,p-0173,su-swift,,2018,2023
f-00321,p-0173,su-vitara,,2016,2022
f-00322,p-0174,ni-versa,,2015,2020
f-00323,p-0174,ni-march,,2014,2021
f-00324,p-0175,cv-captiva,,2008,2018
f-00325,p-0176,rn-kwid,,2018,2024
f-00326,p-0177,rn-logan,,2014,2020
f-00327,p-0177,rn-sandero,,2015,2021
f-00328,p-0177,rn-stepway,,2016,2022
f-00329,p-0178,mz-3,,2015,2019
f-00330,p-0178,mz-2,,2016,2021
f-00331,p-0178,mz-cx5,,2017,2023
f-00332,p-0179,hy-i10,,2014,2020
f-00333,p-0179,ki-picanto,,2012,2020
f-00334,p-0180,ty-hilux,,2016,2023
f-00335,p-0180,fo-ranger,,2016,2022
f-00336,p-0180,ni-frontier,,2010,2020
f-00337,p-0180,vw-amarok,,2011,2021
f-00338,p-0180,cv-dmax,,2006,2013
f-00339,p-0181,fo-escape,,2013,2019
f-00340,p-0182,ty-prado,,2010,2020
f-00341,p-0183,rn-duster,,2012,2021
f-00342,p-0184,vw-gol,,2013,2018
f-00343,p-0184,vw-polo,,2018,2023
f-00344,p-0185,hy-accent,,2012,2018
f-00345,p-0185,ki-rio,,2012,2017
f-00346,p-0186,fo-fiesta,,2011,2016
f-00347,p-0187,ty-corolla,,2014,2019
f-00348,p-0187,ty-yaris,,2018,2023
f-00349,p-0188,hy-i10,,2014,2020
f-00350,p-0188,ki-picanto,,2012,2020
f-00351,p-0189,ni-versa,,2015,2020
f-00352,p-0189,ni-march,,2014,2021
f-00353,p-0190,ni-qashqai,,2018,2023
f-00354,p-0191,ty-hilux,ty-hilux-2gd,2016,2023
f-00355,p-0191,ty-hilux,ty-hilux-1gd,2016,2023
f-00356,p-0191,fo-ranger,fo-ranger-puma32,2016,2022
f-00357,p-0191,fo-ranger,fo-ranger-puma22,2016,2022
f-00358,p-0191,ni-frontier,ni-frontier-yd25,2010,2020
f-00359,p-0191,ni-frontier,ni-frontier-qr25,2010,2020
f-00360,p-0191,vw-amarok,vw-amarok-tdi,2011,2021
f-00361,p-0191,cv-dmax,cv-dmax-4jj1,2006,2013
f-00362,p-0191,cv-dmax,cv-dmax-c24se,2006,2013
f-00363,p-0192,fo-escape,fo-escape-ecoboost,2013,2019
f-00364,p-0193,hy-tucson,hy-tucson-g4na,2016,2022
f-00365,p-0193,hy-tucson,hy-tucson-d4ha,2016,2022
f-00366,p-0193,ki-sportage,ki-sportage-g4na,2016,2022
f-00367,p-0193,ki-sportage,ki-sportage-d4ha,2016,2022
f-00368,p-0194,mz-3,mz-3-pevps,2015,2019
f-00369,p-0194,mz-2,mz-2-p5vps,2016,2021
f-00370,p-0194,mz-cx5,mz-cx5-pyvps,2017,2023
f-00371,p-0195,ty-prado,ty-prado-1gr,2010,2020
f-00372,p-0196,cv-captiva,cv-captiva-le9,2008,2018
f-00373,p-0197,rn-logan,rn-logan-k4m,2014,2020
f-00374,p-0197,rn-sandero,rn-sandero-k4m,2015,2019
f-00375,p-0197,rn-sandero,rn-sandero-h4m,2019,2021
f-00376,p-0197,rn-stepway,rn-stepway-h4m,2016,2022
f-00377,p-0198,vw-gol,vw-gol-ea111,2013,2018
f-00378,p-0198,vw-polo,vw-polo-ea211,2018,2023
f-00379,p-0199,cv-spark-gt,cv-spark-gt-b12d1,2011,2017
f-00380,p-0199,cv-sail,cv-sail-l2b,2013,2019
f-00381,p-0200,ni-qashqai,ni-qashqai-mr20,2018,2023
f-00382,p-0201,fo-fiesta,fo-fiesta-duratec,2011,2016
f-00383,p-0202,rn-duster,rn-duster-k4m,2012,2021
f-00384,p-0202,rn-duster,rn-duster-f4r,2012,2021
f-00385,p-0203,su-swift,su-swift-k12c,2018,2023
f-00386,p-0203,su-vitara,su-vitara-m16a,2016,2022
f-00387,p-0204,ty-corolla,ty-corolla-2zr,2014,2019
f-00388,p-0204,ty-yaris,ty-yaris-2nr,2018,2023
f-00389,p-0205,hy-accent,hy-accent-g4lc,2012,2018
f-00390,p-0205,hy-accent,hy-accent-g4fg,2012,2018
f-00391,p-0205,ki-rio,ki-rio-g4lc,2012,2017
f-00392,p-0206,cv-onix,cv-onix-lde,2017,2021
f-00393,p-0206,cv-onix,cv-onix-lih,2020,2024
f-00394,p-0206,cv-tracker,cv-tracker-lih,2020,2025
f-00395,p-0207,rn-kwid,rn-kwid-b4d,2018,2024
f-00396,p-0208,hy-elantra,hy-elantra-g4fg,2017,2023
f-00397,p-0208,hy-elantra,hy-elantra-g4nb,2017,2020
f-00398,p-0208,ki-cerato,ki-cerato-g4fg,2014,2021
f-00399,p-0209,ni-versa,ni-versa-hr16,2015,2020
f-00400,p-0209,ni-march,ni-march-hr16,2014,2021
f-00401,p-0210,mz-3,mz-3-pevps,2015,2019
f-00402,p-0210,mz-2,mz-2-p5vps,2016,2021
f-00403,p-0210,mz-cx5,mz-cx5-pyvps,2017,2023
f-00404,p-0211,cv-onix,cv-onix-lde,2017,2021
f-00405,p-0211,cv-onix,cv-onix-lih,2020,2024
f-00406,p-0211,cv-tracker,cv-tracker-lih,2020,2025
f-00407,p-0212,ty-prado,ty-prado-1gr,2010,2020
f-00408,p-0213,rn-kwid,rn-kwid-b4d,2018,2024
f-00409,p-0214,cv-captiva,cv-captiva-le9,2008,2018
f-00410,p-0215,ty-hilux,ty-hilux-2gd,2016,2023
f-00411,p-0215,ty-hilux,ty-hilux-1gd,2016,2023
f-00412,p-0215,fo-ranger,fo-ranger-puma32,2016,2022
f-00413,p-0215,fo-ranger,fo-ranger-puma22,2016,2022
f-00414,p-0215,ni-frontier,ni-frontier-yd25,2010,2020
f-00415,p-0215,ni-frontier,ni-frontier-qr25,2010,2020
f-00416,p-0215,vw-amarok,vw-amarok-tdi,2011,2021
f-00417,p-0215,cv-dmax,cv-dmax-4jj1,2006,2013
f-00418,p-0215,cv-dmax,cv-dmax-c24se,2006,2013
f-00419,p-0216,rn-duster,rn-duster-k4m,2012,2021
f-00420,p-0216,rn-duster,rn-duster-f4r,2012,2021
f-00421,p-0217,fo-fiesta,fo-fiesta-duratec,2011,2016
f-00422,p-0218,ty-corolla,ty-corolla-2zr,2014,2019
f-00423,p-0218,ty-yaris,ty-yaris-2nr,2018,2023
f-00424,p-0219,vw-gol,vw-gol-ea111,2013,2018
f-00425,p-0219,vw-polo,vw-polo-ea211,2018,2023
f-00426,p-0220,hy-i10,hy-i10-g4la,2014,2020
f-00427,p-0220,ki-picanto,ki-picanto-g4la,2012,2020
f-00428,p-0221,hy-accent,hy-accent-g4lc,2012,2018
f-00429,p-0221,hy-accent,hy-accent-g4fg,2012,2018
f-00430,p-0221,ki-rio,ki-rio-g4lc,2012,2017
f-00431,p-0222,su-swift,su-swift-k12c,2018,2023
f-00432,p-0222,su-vitara,su-vitara-m16a,2016,2022
f-00433,p-0223,hy-tucson,hy-tucson-g4na,2016,2022
f-00434,p-0223,hy-tucson,hy-tucson-d4ha,2016,2022
f-00435,p-0223,ki-sportage,ki-sportage-g4na,2016,2022
f-00436,p-0223,ki-sportage,ki-sportage-d4ha,2016,2022
f-00437,p-0224,ni-qashqai,ni-qashqai-mr20,2018,2023
f-00438,p-0225,cv-spark-gt,cv-spark-gt-b12d1,2011,2017
f-00439,p-0225,cv-sail,cv-sail-l2b,2013,2019
f-00440,p-0226,cv-spark-gt,cv-spark-gt-b12d1,2011,2017
f-00441,p-0226,cv-sail,cv-sail-l2b,2013,2019
f-00442,p-0227,hy-tucson,hy-tucson-g4na,2016,2022
f-00443,p-0227,hy-tucson,hy-tucson-d4ha,2016,2022
f-00444,p-0227,ki-sportage,ki-sportage-g4na,2016,2022
f-00445,p-0227,ki-sportage,ki-sportage-d4ha,2016,2022
f-00446,p-0228,hy-i10,hy-i10-g4la,2014,2020
f-00447,p-0228,ki-picanto,ki-picanto-g4la,2012,2020
f-00448,p-0229,su-swift,su-swift-k12c,2018,2023
f-00449,p-0229,su-vitara,su-vitara-m16a,2016,2022
f-00450,p-0230,ty-corolla,ty-corolla-2zr,2014,2019
f-00451,p-0230,ty-yaris,ty-yaris-2nr,2018,2023
f-00452,p-0231,ni-qashqai,ni-qashqai-mr20,2018,2023
f-00453,p-0232,rn-kwid,rn-kwid-b4d,2018,2024
f-00454,p-0233,cv-onix,cv-onix-lde,2017,2021
f-00455,p-0233,cv-onix,cv-onix-lih,2020,2024
f-00456,p-0233,cv-tracker,cv-tracker-lih,2020,2025
f-00457,p-0234,fo-escape,fo-escape-ecoboost,2013,2019
f-00458,p-0235,rn-duster,rn-duster-k4m,2012,2021
f-00459,p-0235,rn-duster,rn-duster-f4r,2012,2021
f-00460,p-0236,mz-3,mz-3-pevps,2015,2019
f-00461,p-0236,mz-2,mz-2-p5vps,2016,2021
f-00462,p-0236,mz-cx5,mz-cx5-pyvps,2017,2023
f-00463,p-0237,ni-versa,ni-versa-hr16,2015,2020
f-00464,p-0237,ni-march,ni-march-hr16,2014,2021
f-00465,p-0238,vw-gol,vw-gol-ea111,2013,2018
f-00466,p-0238,vw-polo,vw-polo-ea211,2018,2023
f-00467,p-0239,fo-fiesta,fo-fiesta-duratec,2011,2016
f-00468,p-0240,hy-i10,hy-i10-g4la,2014,2020
f-00469,p-0240,ki-picanto,ki-picanto-g4la,2012,2020
f-00470,p-0241,cv-onix,cv-onix-lde,2017,2021
f-00471,p-0241,cv-onix,cv-onix-lih,2020,2024
f-00472,p-0241,cv-tracker,cv-tracker-lih,2020,2025
f-00473,p-0242,hy-accent,hy-accent-g4lc,2012,2018
f-00474,p-0242,hy-accent,hy-accent-g4fg,2012,2018
f-00475,p-0242,ki-rio,ki-rio-g4lc,2012,2017
f-00476,p-0243,ty-prado,ty-prado-1gr,2010,2020
f-00477,p-0244,ty-corolla,ty-corolla-2zr,2014,2019
f-00478,p-0244,ty-yaris,ty-yaris-2nr,2018,2023
f-00479,p-0245,rn-kwid,rn-kwid-b4d,2018,2024
f-00480,p-0246,su-swift,su-swift-k12c,2018,2023
f-00481,p-0246,su-vitara,su-vitara-m16a,2016,2022
f-00482,p-0247,ty-hilux,ty-hilux-2gd,2016,2023
f-00483,p-0247,ty-hilux,ty-hilux-1gd,2016,2023
f-00484,p-0247,fo-ranger,fo-ranger-puma32,2016,2022
f-00485,p-0247,fo-ranger,fo-ranger-puma22,2016,2022
f-00486,p-0247,ni-frontier,ni-frontier-yd25,2010,2020
f-00487,p-0247,ni-frontier,ni-frontier-qr25,2010,2020
f-00488,p-0247,vw-amarok,vw-amarok-tdi,2011,2021
f-00489,p-0247,cv-dmax,cv-dmax-4jj1,2006,2013
f-00490,p-0247,cv-dmax,cv-dmax-c24se,2006,2013
f-00491,p-0248,rn-logan,rn-logan-k4m,2014,2020
f-00492,p-0248,rn-sandero,rn-sandero-k4m,2015,2019
f-00493,p-0248,rn-sandero,rn-sandero-h4m,2019,2021
f-00494,p-0248,rn-stepway,rn-stepway-h4m,2016,2022
f-00495,p-0249,rn-duster,rn-duster-k4m,2012,2021
f-00496,p-0249,rn-duster,rn-duster-f4r,2012,2021
f-00497,p-0250,vw-gol,vw-gol-ea111,2013,2018
f-00498,p-0250,vw-polo,vw-polo-ea211,2018,2023
f-00499,p-0251,fo-fiesta,fo-fiesta-duratec,2011,2016
f-00500,p-0252,hy-accent,hy-accent-g4lc,2012,2018
f-00501,p-0252,hy-accent,hy-accent-g4fg,2012,2018
f-00502,p-0252,ki-rio,ki-rio-g4lc,2012,2017
f-00503,p-0253,ni-qashqai,ni-qashqai-mr20,2018,2023
f-00504,p-0254,cv-onix,cv-onix-lde,2017,2021
f-00505,p-0254,cv-onix,cv-onix-lih,2020,2024
f-00506,p-0254,cv-tracker,cv-tracker-lih,2020,2025
f-00507,p-0255,rn-logan,rn-logan-k4m,2014,2020
f-00508,p-0255,rn-sandero,rn-sandero-k4m,2015,2019
f-00509,p-0255,rn-sandero,rn-sandero-h4m,2019,2021
f-00510,p-0255,rn-stepway,rn-stepway-h4m,2016,2022
f-00511,p-0256,ty-prado,ty-prado-1gr,2010,2020
f-00512,p-0257,mz-3,mz-3-pevps,2015,2019
f-00513,p-0257,mz-2,mz-2-p5vps,2016,2021
f-00514,p-0257,mz-cx5,mz-cx5-pyvps,2017,2023
f-00515,p-0258,hy-tucson,hy-tucson-g4na,2016,2022
f-00516,p-0258,hy-tucson,hy-tucson-d4ha,2016,2022
f-00517,p-0258,ki-sportage,ki-sportage-g4na,2016,2022
f-00518,p-0258,ki-sportage,ki-sportage-d4ha,2016,2022
f-00519,p-0259,hy-elantra,hy-elantra-g4fg,2017,2023
f-00520,p-0259,hy-elantra,hy-elantra-g4nb,2017,2020
f-00521,p-0259,ki-cerato,ki-cerato-g4fg,2014,2021
